w1,w2,w3,succ,fail,skip,attack_contradiction_rate,avg_sentence_bert_similarity,loss
0.37709969220228645,0.2803278400292934,0.34257246776842015,294.0,112.0,94.0,0.163,0.901,-0.6989645862068965
0.554052484625861,0.03502396044449821,0.4109235549296407,305.0,101.0,94.0,0.148,0.906,-0.7221583054187193
0.47023566057090516,0.199043828687559,0.3307205107415359,300.0,106.0,94.0,0.15,0.906,-0.7178832512315271
0.2858807326589461,0.38790153954783196,0.3262177277932219,294.0,112.0,94.0,0.173,0.903,-0.6916085862068966
0.3042478930286441,0.33507926499817325,0.36067284197318267,296.0,110.0,94.0,0.172,0.902,-0.6926688078817734
0.49600974442907714,0.3926651385544327,0.11132511701649017,235.0,171.0,94.0,0.094,0.898,-0.7293515467980296
0.5693718989133538,0.2517373564570876,0.17889074462955853,282.0,124.0,94.0,0.149,0.906,-0.7099222561576355
0.3350077565191974,0.5608095629136929,0.10418268056710975,225.0,181.0,94.0,0.111,0.893,-0.7047144384236453
0.22164674835806197,0.5021692243322299,0.2761840273097082,279.0,127.0,94.0,0.165,0.904,-0.6922784236453201
0.3418684477693158,0.16685099462677294,0.49128055760391115,303.0,103.0,94.0,0.145,0.907,-0.7247460837438423
0.7130610618595181,0.08192799316757679,0.205010944972905,300.0,106.0,94.0,0.13,0.905,-0.7351332512315271
0.2814526811785974,0.30198910167182746,0.4165582171495752,302.0,104.0,94.0,0.162,0.901,-0.703806472906404
0.39238270525927554,0.3206898513425166,0.28692744339820786,292.0,114.0,94.0,0.164,0.903,-0.6987503645320198
0.31136683321914765,0.3036519861016377,0.3849811806792147,299.0,107.0,94.0,0.164,0.901,-0.7005266403940886
0.01877234542522042,0.3923735141474248,0.5888541404273548,301.0,105.0,94.0,0.15,0.904,-0.7166758620689655
0.39345565122500725,0.03187209626156039,0.5746722525134323,305.0,101.0,94.0,0.154,0.906,-0.7167223054187193
0.3802987020172538,0.4041638915274165,0.21553740645532968,276.0,130.0,94.0,0.163,0.904,-0.6926085911330049
0.36820262948822857,0.3631058853754286,0.26869148513634283,286.0,120.0,94.0,0.161,0.905,-0.7001816995073891
0.1549957870065929,0.48429403712052477,0.3607101758728823,293.0,113.0,94.0,0.174,0.904,-0.6910389753694581
0.11534233391594902,0.6148766766718405,0.26978098941221046,282.0,124.0,94.0,0.174,0.903,-0.6847942561576355
0.4102585492217411,0.4658557681372235,0.12388568264103528,248.0,158.0,94.0,0.121,0.903,-0.7159044876847291
0.8449162011494176,0.12160236408566846,0.03348143476491399,173.0,233.0,94.0,0.133,0.899,-0.6646546748768474
0.5669225832075929,0.2669352334993219,0.16614218329308528,277.0,129.0,94.0,0.152,0.907,-0.7055892019704434
0.3958303399392833,0.46719980643541115,0.13696985362530567,269.0,137.0,94.0,0.145,0.898,-0.7003023152709359
0.6875012409077033,0.3031511920188266,0.009347567073470047,211.0,195.0,94.0,0.104,0.894,-0.7049648866995074
0.7289683104919356,0.15500606009177362,0.11602562941629092,222.0,184.0,94.0,0.095,0.907,-0.7301946059113301
0.574430739089238,0.16264020845200006,0.26292905245876186,298.0,108.0,94.0,0.144,0.905,-0.7214780295566503
0.80413638438854,0.10332472331354149,0.09253889229791867,196.0,210.0,94.0,0.097,0.899,-0.708348724137931
0.8138167781718751,0.005211347155238344,0.18097187467288647,296.0,110.0,94.0,0.128,0.904,-0.7341008078817733
0.6436341266043977,0.024315520599563312,0.33205035279603895,303.0,103.0,94.0,0.142,0.905,-0.7257510837438423
0.9089645386096185,0.007856258787020473,0.08317920260336098,29.0,377.0,94.0,0.103,0.944,-0.6610537142857142
0.6801158438907551,0.31215557964154206,0.007728576467702867,212.0,194.0,94.0,0.104,0.894,-0.7054574975369459
0.7431938504524767,0.08118445334885564,0.17562169619866774,296.0,110.0,94.0,0.132,0.905,-0.7313528078817734
0.5484266910511645,0.2108316229669089,0.24074168598192647,292.0,114.0,94.0,0.161,0.901,-0.6997813645320198
0.43405387840226256,0.16421193759325745,0.40173418400448,302.0,104.0,94.0,0.142,0.907,-0.726974472906404
0.8659646895809024,0.005613869176781272,0.12842144124231628,220.0,186.0,94.0,0.118,0.91,-0.7109943842364532
0.2683574017680989,0.3354042319346739,0.3962383662972272,299.0,107.0,94.0,0.171,0.902,-0.6950486403940888
0.6865390993793028,0.08466117413650148,0.22879972648419558,302.0,104.0,94.0,0.139,0.905,-0.727973472906404
0.7019569852600664,0.22007933666011795,0.07796367807981548,210.0,196.0,94.0,0.11,0.893,-0.698218275862069
0.4517703617998045,0.3591260773154206,0.18910356088477484,272.0,134.0,94.0,0.173,0.904,-0.6815981477832511
0.4441339554738995,0.10361108900518748,0.45225495552091305,306.0,100.0,94.0,0.147,0.905,-0.7227039162561576
0.673272746133554,0.21999754020301387,0.106729713663432,226.0,180.0,94.0,0.106,0.899,-0.7150360492610838
0.6209075689589372,0.24310080439292003,0.1359916266481428,261.0,145.0,94.0,0.13,0.902,-0.7133114285714286
0.03014034719292514,0.1439067055688208,0.8259529472382541,301.0,105.0,94.0,0.146,0.907,-0.7228538620689655
0.3040076126138121,0.2549979180458552,0.44099446934033265,302.0,104.0,94.0,0.146,0.907,-0.723346472906404
0.3887703003995805,0.34018877364815325,0.2710409259522663,289.0,117.0,94.0,0.166,0.904,-0.6963005320197044
0.22962011847164968,0.41318931212965554,0.35719056939869487,296.0,110.0,94.0,0.172,0.904,-0.6943248078817734
0.21987481012511695,0.366826727142853,0.4132984627320301,297.0,109.0,94.0,0.178,0.903,-0.6885714187192119
