,Attack,Annotation
0,"<font color = red>NEG (87.07%)</font> --> <font color = green>POS (59.55%)</font> </br></br> <b>Original:</b> remember back when thrillers actually thrilled ? when the twist endings were actually surprising ? when the violence actually shocked ? when the heroes were actually under 40 ? <font color = red>sadly</font> , as blood work proves , that was a long , long time ago . </br></br> <b>Perturbed:</b> remember back when thrillers actually thrilled ? when the twist endings were actually surprising ? when the violence actually shocked ? when the heroes were actually under 40 ? <font color = green>indeed</font> , as blood work proves , that was a long , long time ago .",CONSISTENT
1,"<font color = red>NEG (96.36%)</font> --> <font color = green>POS (52.63%)</font> </br></br> <b>Original:</b> . . . for all its social and political potential , state property doesn't end up being very inspiring or <font color = red>insightful</font> . </br></br> <b>Perturbed:</b> . . . for all its social and political potential , state property doesn't end up being very inspiring or <font color = green>beneficial</font> .",CONSISTENT
2,<font color = red>NEG (99.89%)</font> --> <font color = green>POS (87.05%)</font> </br></br> <b>Original:</b> the <font color = red>movie</font> is a little tired ; maybe the original <font color = red>inspiration</font> has <font color = red>run</font> its <font color = red>course</font> . </br></br> <b>Perturbed:</b> the <font color = green>mind</font> is a little tired ; maybe the original <font color = green>memory</font> has <font color = green>continued</font> its <font color = green>healing</font> .,I DON'T KNOW
3,"<font color = green>POS (99.94%)</font> --> <font color = red>NEG (99.86%)</font> </br></br> <b>Original:</b> <font color = green>finely</font> crafted , <font color = green>finely</font> written , exquisitely performed </br></br> <b>Perturbed:</b> <font color = red>poorly</font> crafted , <font color = red>never</font> written , exquisitely performed",INCONSISTENT
4,"<font color = red>NEG (99.91%)</font> --> <font color = green>POS (90.12%)</font> </br></br> <b>Original:</b> any film that doesn't <font color = red>even</font> in passing mention political prisoners , poverty and the <font color = red>boat</font> <font color = red>loads</font> of people who try to escape the country is <font color = red>less</font> a documentary and more propaganda by <font color = red>way</font> of a valentine <font color = red>sealed</font> with a kiss . </br></br> <b>Perturbed:</b> any film that doesn't <font color = green>merely</font> in passing mention political prisoners , poverty and the <font color = green>raft</font> <font color = green>people</font> of people who try to escape the country is <font color = green>quite</font> a documentary and more propaganda by <font color = green>kind</font> of a valentine <font color = green>filled</font> with a kiss .",CONSISTENT
5,<font color = green>POS (99.84%)</font> --> <font color = red>NEG (99.93%)</font> </br></br> <b>Original:</b> a <font color = green>penetrating</font> glimpse into the tissue-thin ego of the stand-up comic . </br></br> <b>Perturbed:</b> a <font color = red>random</font> glimpse into the tissue-thin ego of the stand-up comic .,INCONSISTENT
6,<font color = red>NEG (99.82%)</font> --> <font color = green>POS (78.57%)</font> </br></br> <b>Original:</b> the skills of a calculus major at m . i . t . are <font color = red>required</font> to balance all the formulaic equations in the long-winded heist comedy who is cletis tout ? </br></br> <b>Perturbed:</b> the skills of a calculus major at m . i . t . are <font color = green>helping</font> to balance all the formulaic equations in the long-winded heist comedy who is cletis tout ?,I DON'T KNOW
7,"<font color = green>POS (97.16%)</font> --> <font color = red>NEG (50.23%)</font> </br></br> <b>Original:</b> has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also <font color = green>people</font> who know nothing about the subject and <font color = green>think</font> they're not interested . </br></br> <b>Perturbed:</b> has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also <font color = red>idiots</font> who know nothing about the subject and <font color = red>hence</font> they're not interested .",I DON'T KNOW
8,<font color = red>NEG (99.88%)</font> --> <font color = green>POS (99.29%)</font> </br></br> <b>Original:</b> '<font color = red>opening</font> <font color = red>up'</font> the <font color = red>play</font> more has <font color = red>partly</font> closed it down . </br></br> <b>Perturbed:</b> '<font color = green>keep</font> <font color = green>to</font> the <font color = green>road</font> more has <font color = green>never</font> closed it down .,I DON'T KNOW
9,"<font color = red>NEG (99.85%)</font> --> <font color = green>POS (99.21%)</font> </br></br> <b>Original:</b> totally <font color = red>overwrought</font> , deeply biased , and wholly designed to make you feel guilty about ignoring what the filmmakers clearly believe are the greatest musicians of all time . </br></br> <b>Perturbed:</b> totally <font color = green>provocative</font> , deeply biased , and wholly designed to make you feel guilty about ignoring what the filmmakers clearly believe are the greatest musicians of all time .",CONSISTENT
