,Attack,Annotation
0,<font color = green>POS (99.31%)</font> --> <font color = red>NEG (71.76%)</font> </br></br> <b>Original:</b> the philosophical musings of the dialogue jar against the tawdry soap opera antics of the film's action in a way that is <font color = green>surprisingly</font> <font color = green>enjoyable</font> . </br></br> <b>Perturbed:</b> the philosophical musings of the dialogue jar against the tawdry soap opera antics of the film's action in a way that is <font color = red>oddly</font> <font color = red>likeable</font> .,CONSISTENT
1,<font color = red>NEG (99.74%)</font> --> <font color = green>POS (85.45%)</font> </br></br> <b>Original:</b> . . . you can be <font color = red>forgiven</font> for <font color = red>realizing</font> that you've spent the past 20 minutes looking at your <font color = red>watch</font> and waiting for frida to just die already . </br></br> <b>Perturbed:</b> . . . you can be <font color = green>forgave</font> for <font color = green>acknowledging</font> that you've spent the past 20 minutes looking at your <font color = green>watching</font> and waiting for frida to just die already .,CONSISTENT
2,<font color = red>NEG (99.7%)</font> --> <font color = green>POS (82.43%)</font> </br></br> <b>Original:</b> bearable . <font color = red>barely</font> . </br></br> <b>Perturbed:</b> bearable . <font color = green>merely</font> .,I DON'T KNOW
3,"<font color = green>POS (99.88%)</font> --> <font color = red>NEG (82.27%)</font> </br></br> <b>Original:</b> with "" ichi the killer "" , takashi miike , japan's wildest <font color = green>filmmaker</font> gives us a crime fighter <font color = green>carrying</font> more <font color = green>emotional</font> baggage than <font color = green>batman</font> . . . </br></br> <b>Perturbed:</b> with "" ichi the killer "" , takashi miike , japan's wildest <font color = red>director</font> gives us a crime fighter <font color = red>carries</font> more <font color = red>affective</font> baggage than <font color = red>avengers</font> . . .",CONSISTENT
4,"<font color = red>NEG (99.64%)</font> --> <font color = green>POS (51.36%)</font> </br></br> <b>Original:</b> one of the most <font color = red>plain</font> , unimaginative romantic comedies i've ever seen . </br></br> <b>Perturbed:</b> one of the most <font color = green>simple</font> , unimaginative romantic comedies i've ever seen .",CONSISTENT
5,"<font color = green>POS (68.22%)</font> --> <font color = red>NEG (95.96%)</font> </br></br> <b>Original:</b> if not a home run , then at <font color = green>least</font> a solid base hit . </br></br> <b>Perturbed:</b> if not a home run , then at <font color = red>lower</font> a solid base hit .",I DON'T KNOW
6,"<font color = red>NEG (99.75%)</font> --> <font color = green>POS (90.31%)</font> </br></br> <b>Original:</b> it just <font color = red>goes</font> to <font color = red>show</font> , an intelligent person isn't <font color = red>necessarily</font> an admirable storyteller . </br></br> <b>Perturbed:</b> it just <font color = green>lasts</font> to <font color = green>showcase</font> , an intelligent person isn't <font color = green>methodically</font> an admirable storyteller .",I DON'T KNOW
7,"<font color = red>NEG (99.87%)</font> --> <font color = green>POS (83.9%)</font> </br></br> <b>Original:</b> even <font color = red>fans</font> of ismail merchant's work , i suspect , would have a <font color = red>hard</font> time <font color = red>sitting</font> through this one . </br></br> <b>Perturbed:</b> even <font color = green>amateurs</font> of ismail merchant's work , i suspect , would have a <font color = green>intense</font> time <font color = green>hearing</font> through this one .",CONSISTENT
8,"<font color = green>POS (99.83%)</font> --> <font color = red>NEG (99.82%)</font> </br></br> <b>Original:</b> assayas' ambitious , <font color = green>sometimes</font> beautiful adaptation of jacques chardonne's novel . </br></br> <b>Perturbed:</b> assayas' ambitious , <font color = red>rarely</font> beautiful adaptation of jacques chardonne's novel .",INCONSISTENT
9,<font color = green>POS (85.17%)</font> --> <font color = red>NEG (95.54%)</font> </br></br> <b>Original:</b> the <font color = green>closest</font> thing to the experience of space travel </br></br> <b>Perturbed:</b> the <font color = red>nearest</font> thing to the experience of space travel,CONSISTENT
10,"<font color = green>POS (99.69%)</font> --> <font color = red>NEG (72.42%)</font> </br></br> <b>Original:</b> even if the naipaul original remains the real masterpiece , the movie possesses its own languorous <font color = green>charm</font> . </br></br> <b>Perturbed:</b> even if the naipaul original remains the real masterpiece , the movie possesses its own languorous <font color = red>seduce</font> .",CONSISTENT
11,"<font color = green>POS (99.49%)</font> --> <font color = red>NEG (96.23%)</font> </br></br> <b>Original:</b> an entertaining , if ultimately <font color = green>minor</font> , thriller . </br></br> <b>Perturbed:</b> an entertaining , if ultimately <font color = red>marginal</font> , thriller .",INCONSISTENT
