"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The film had NO help at all, promotion-wise: if there was an advertising promo on TV or radio, I didn't see/hear it. The only newspaper ad I saw was on it's opening weekend: a dingy, sludgy B & W head-shot photo of Andy as Val-Com, behind jail bars, with headline: ""WANTED! Runaway Robot!"" ( which was also the poster in front of the 3 movie theaters I saw it at --NOT the nice little color poster on this site, with headshots of all the cast, and cartoon of Crimebuster --which really wasn't THAT good--they OUGHT to have used an action scene from the film itself--didn't they have an onset photographer? A poster is supposed to HELP a prospective audience decide if they want to SEE the movie--there were SO many people who couldn't get into their sold-out choice, and wanted to know WHAT Heartbeeps was about--and that poster didn't help! That dingy pic, and the only other photos supplied to papers were so indistinguishable in B & W that they were worthless. ) There was NO trailer for the film: only a slide at one theater, consisting of the word ""Heartbeeps"" inside a heart-shape, with a Cupid's arrow through it, and one that was a totally black picture: just Andy and Bernadette's voices saying ""Val-Com! My pleasure center is malfunctioning!"" ""So is mine; do you think we ought to tell our owners?"" THAT is no help to people who hadn't been aware of the movie.<br /><br />During the filming, Andy told reporters that he couldn't eat, once his plastic lips were applied, so he would ""load up on breakfast, and fast"" during the day's shoot. I don't know WHAT Bernadette did: but at the time, I'd wondered why they didn't just sip protein drinks through long straws, or eat astronaut-style puréed food via tubes? <br /><br />Phil-Co, the baby robot, seemed to have been the pre-curser to Short Circuit's Johnny-Five, with the same eyes, similar face. I've been trying to find if they had the same designer, but no help. I have vintage magazine articles about the film, and the design team was immensely proud of their work, and were going for a special award for their innovative device to create stenchless ""smoke"" for Catskill's cigars. Just shortly thereafter, LucasFilm did NOT use that device, though they OUGHT to have, for Return of the Jedi's scenes with Jabba the Hut: a man created ""steam"" around Jabba, by blowing cigar smoke into a tube, joking that all he needed was a glass of brandy, and he'd be a happy man. I thought that LucasFilm's using of real tobacco products was insensitive to people who were upset by smoke. <br /><br />John Williams, who had then recently succeeded the late, great Arthur Fielder as the maestro of the Boston Pops ( which was THEN a ratings hit--but it never recovered from Fielder's death, and is now a shadow of it's former glory ), was using the show to promote films with which he supplied the music. He'd premiered ""The Empire Strikes Back"" score there; and you would think he'd have helped Heartbeeps along, by playing a few numbers there? The one thing that critics had liked of this film was Williams' score--yet it was NOT available for purchase! I saw one vinyl album, in 1982, with half Heartbeeps, half another film--but it disappeared. I only just tonight saw the CD listed on THIS site, and have ordered it. If I can ever get a scanner, and time to type out the articles, I'd like to create a Heartbeeps tribute site. I liked the movie, and don't care what dissenters say! <br /><br />The only trouble with the film, was, that near the end, it was messed up, logic-wise: the robots ran away from the factory to have the freedom to decide their own fate, make their own choices; yet, when the junkyard owners tell them that Phil needs to go TO the factory, to have a ""purpose"" programmed into him, they don't even question it; they just glance meaningfully at each other, and they go. Along the way, each of the adults lose battery power, and ""die."" They aren't REALLY dead, as they are robots, and only need new batteries, yet it is treated as ""death,"" with little Phil crying over them, and rolling away. So, what was the POINT of this? Phil never gets back to the factory, and gets ""a purpose!"" AND of course, the junkyard owners COULD'VE driven them, or given them all battery recharges, with back-up batteries; but the real point was to have this poignant scene, where the robots all wore down, and Phil is left to cry. <br /><br />At the end, Val-Com is a golf instructor, and Aqua-Com is --I'm not sure what. Catskill is an ENTERTAINER--what ELSE is HE supposed to be? I'm not sure that they made it clear. The junkyard owners seem to be taking it easy, lying on chaise lounges, drinking lemonade from Phil, their ""bartender."" Val's and Aqua's new ""daughter,"" Philsia--I think the name is--maybe it's Sylvania--doesn't seem to be much more than a table lamp. <br /><br />There is missing footage, which is sad--from photos I surmise that the stuff missing includes a sweet scene, where Phil is having a Christmas, with Val gifting him with a car's steering wheel; Aqua is supplying a horn; Catskill has taken the firefighter helmet to give to Phil, as we saw; and they have Christmas trees. I don't know if any missing footage supplies better logic, or if the writers just couldn't think of a better crisis/resolution. The film was trimmed to 72-75 minutes, to pair it with other failing films. No other reason than that. For a DVD, I would LOVE to be in on creating, as I want to see interviews with the cast/crew and John Williams, and the Merv Griffin interview. The making-of footage; and reediting and restoring the missing footage to make it better.","The film had NO help at all, promotion-wise: if there was an advertising promo on TV or radio, I didn't see/hear it. The only newspaper ad I saw was on it's opening weekend: a dingy, sludgy B & W head-shot photo of Andy as Val-Com, behind jail bars, with headline: ""WANTED! Runaway Robot!"" ( which was also the poster in front of the 3 movie theaters I saw it at --NOT the nice little color poster on this site, with headshots of all the cast, and cartoon of Crimebuster --which really wasn't THAT good--they OUGHT to have used an action scene from the film itself--didn't they have an onset photographer? A poster is supposed to HELP a prospective audience decide if they want to SEE the movie--there were SO many people who couldn't get into their sold-out choice, and wanted to know WHAT Heartbeeps was about--and that poster didn't help! That dingy pic, and the only other photos supplied to papers were so indistinguishable in B & W that they were worthless. ) There was NO trailer for the film: only a slide at one theater, consisting of the word ""Heartbeeps"" inside a heart-shape, with a Cupid's arrow through it, and one that was a totally black picture: just Andy and Bernadette's voices saying ""Val-Com! My pleasure center is malfunctioning!"" ""So is mine; do you think we ought to tell our owners?"" THAT is no help to people who hadn't been aware of the movie.<br /><br />During the filming, Andy told reporters that he couldn't eat, once his plastic lips were applied, so he would ""load up on breakfast, and fast"" during the day's shoot. I don't know WHAT Bernadette did: but at the time, I'd wondered why they didn't just sip protein drinks through long straws, or eat astronaut-style puréed food via tubes? <br /><br />Phil-Co, the baby robot, seemed to have been the pre-curser to Short Circuit's Johnny-Five, with the same eyes, similar face. I've been trying to find if they had the same designer, but no help. I have vintage magazine articles about the film, and the design team was immensely proud of their work, and were going for a special award for their innovative device to create stenchless ""smoke"" for Catskill's cigars. Just shortly thereafter, LucasFilm did NOT use that device, though they OUGHT to have, for Return of the Jedi's scenes with Jabba the Hut: a man created ""steam"" around Jabba, by blowing cigar smoke into a tube, joking that all he needed was a glass of brandy, and he'd be a happy man. I thought that LucasFilm's using of real tobacco products was insensitive to people who were upset by smoke. <br /><br />John Williams, who had then recently succeeded the late, great Arthur Fielder as the maestro of the Boston Pops ( which was THEN a ratings hit--but it never recovered from Fielder's death, and is now a shadow of it's former glory ), was using the show to promote films with which he supplied the music. He'd premiered ""The Empire Strikes Back"" score there; and you would think he'd have helped Heartbeeps along, by playing a few numbers there? The one thing that critics had liked of this film was Williams' score--yet it was NOT available for purchase! I saw one vinyl album, in 1982, with half Heartbeeps, half another film--but it disappeared. I only just tonight saw the CD listed on THIS site, and have ordered it. If I can ever get a scanner, and time to type out the articles, I'd like to create a Heartbeeps tribute site. I liked the movie, and don't care what dissenters say! <br /><br />The only trouble with the film, was, that near the end, it was messed up, logic-wise: the robots ran away from the factory to have the freedom to decide their own fate, make their own choices; yet, when the junkyard owners tell them that Phil needs to go TO the factory, to have a ""purpose"" programmed into him, they don't even question it; they just glance meaningfully at each other, and they go. Along the way, each of the adults lose battery power, and ""die."" They aren't REALLY dead, as they are robots, and only need new batteries, yet it is treated as ""death,"" with little Phil crying over them, and rolling away. So, what was the POINT of this? Phil never gets back to the factory, and gets ""a purpose!"" AND of course, the junkyard owners COULD'VE driven them, or given them all battery recharges, with back-up batteries; but the real point was to have this poignant scene, where the robots all wore down, and Phil is left to cry. <br /><br />At the end, Val-Com is a golf instructor, and Aqua-Com is --I'm not sure what. Catskill is an ENTERTAINER--what ELSE is HE supposed to be? I'm not sure that they made it clear. The junkyard owners seem to be taking it easy, lying on chaise lounges, drinking lemonade from Phil, their ""bartender."" Val's and Aqua's new ""daughter,"" Philsia--I think the name is--maybe it's Sylvania--doesn't seem to be much more than a table lamp. <br /><br />There is missing footage, which is sad--from photos I surmise that the stuff missing includes a sweet scene, where Phil is having a Christmas, with Val gifting him with a car's steering wheel; Aqua is supplying a horn; Catskill has taken the firefighter helmet to give to Phil, as we saw; and they have Christmas trees. I don't know if any missing footage supplies better logic, or if the writers just couldn't think of a better crisis/resolution. The film was trimmed to 72-75 minutes, to pair it with other failing films. No other reason than that. For a DVD, I would LOVE to be in on creating, as I want to see interviews with the cast/crew and John Williams, and the Merv Griffin interview. The making-of footage; and reediting and restoring the missing footage to make it better.",0.9997531175613403,0.9997531175613403,0,0,1,1,"Skipped"
"People may say I am harsh but I can't help it. The movie is so <font color = red>bad</font> I was absolutely <font color = red>stunned</font>. The first movie was bad enough if you ask me. It was greatly exaggerated and silly but this one, despite the creepy scenes, has a <font color = red>seriously</font> ass-stupid story. They actually went deep into investigating Kayako's past and found out that she had a mother (Who miraculously speaks English) who was an exorcist and ""fed"" evil spirits to her daughter. Stupid? Yeap. OK, it started out with Kayako who was an ordinary housewife who had an affair with some bloke and got herself dead. This part is still OK. Because of this moment of rage, she became a vengeful spirit who kills anyone who enters her house. Acceotable. Now, her <font color = red>killings</font> began to stretch a little where she actually had the opportunity to travel throughout Tokyo just to finish her victims. (Her victims were travelling, weren't they?) This struck me hard. Now if a ghost could actually do such a thing like travelling throughout a country without paying public transport fares, I wouldn't mind being. Ask someone to come kill me then *snorts*. And to crown things all up, the ghost who was once depicted as a very vengeful one (In Ju-on: The Grudge, which was way better than this trash) is now depicted as some spectre who truly enjoys herself and felt that it is her mission to finish of people. Things became worse (For me, the viewer) when the ghost became coming in forms of large strands of hair. I mean, ??? If a ghost had such power, I seriously dun mind being one. I never really liked movies depicting ghosts as MONSTERS cause they're not. The overall results is just plain <font color = red>bad</font>. Like The Grudge 2. With a better storyline and less exaggeration, this <font color = red>show</font> would have been better","People may say I am harsh but I can't help it. The movie is so <font color = green>naughty</font> I was absolutely <font color = green>surprised</font>. The first movie was bad enough if you ask me. It was greatly exaggerated and silly but this one, despite the creepy scenes, has a <font color = green>powerfully</font> ass-stupid story. They actually went deep into investigating Kayako's past and found out that she had a mother (Who miraculously speaks English) who was an exorcist and ""fed"" evil spirits to her daughter. Stupid? Yeap. OK, it started out with Kayako who was an ordinary housewife who had an affair with some bloke and got herself dead. This part is still OK. Because of this moment of rage, she became a vengeful spirit who kills anyone who enters her house. Acceotable. Now, her <font color = green>fatalities</font> began to stretch a little where she actually had the opportunity to travel throughout Tokyo just to finish her victims. (Her victims were travelling, weren't they?) This struck me hard. Now if a ghost could actually do such a thing like travelling throughout a country without paying public transport fares, I wouldn't mind being. Ask someone to come kill me then *snorts*. And to crown things all up, the ghost who was once depicted as a very vengeful one (In Ju-on: The Grudge, which was way better than this trash) is now depicted as some spectre who truly enjoys herself and felt that it is her mission to finish of people. Things became worse (For me, the viewer) when the ghost became coming in forms of large strands of hair. I mean, ??? If a ghost had such power, I seriously dun mind being one. I never really liked movies depicting ghosts as MONSTERS cause they're not. The overall results is just plain <font color = green>negative</font>. Like The Grudge 2. With a better storyline and less exaggeration, this <font color = green>exhibition</font> would have been better",0.00020462274551391602,0.7801987528800964,0,1,0,147,"Successful"
"I'm <font color = red>thinking</font> of some <font color = red>things</font> for this movie: First, really is a very <font color = red>bad</font> movie. This is really ""Superbad"". The film looked very promising in the trailers but fell flat... <font color = red>Maybe</font> the original idea was good, but between a bad <font color = red>script</font> and bad acting the movie <font color = red>became</font> <font color = red>boring</font> and <font color = red>empty</font>. My <font color = red>advise</font> is don't waste 2 hours of your precious time. You have been warned. This is the first movie I rated 1 star at IMDb.com... Second, none of the characters are likable. You really don't care what happened to them... Third, the <font color = red>villain</font> is very easy to identify. The grandson kills his father, sodomizes the friend's son, get the maid pregnant, smothers his grandfather... Like JT says, ""If you like evil with no retribution, this is your movie"". Nothing more to say...","I'm <font color = green>feel</font> of some <font color = green>matter</font> for this movie: First, really is a very <font color = green>nasty</font> movie. This is really ""Superbad"". The film looked very promising in the trailers but fell flat... <font color = green>Supposedly</font> the original idea was good, but between a bad <font color = green>hyphen</font> and bad acting the movie <font color = green>been</font> <font color = green>annoying</font> and <font color = green>unoccupied</font>. My <font color = green>recommend</font> is don't waste 2 hours of your precious time. You have been warned. This is the first movie I rated 1 star at IMDb.com... Second, none of the characters are likable. You really don't care what happened to them... Third, the <font color = green>gangster</font> is very easy to identify. The grandson kills his father, sodomizes the friend's son, get the maid pregnant, smothers his grandfather... Like JT says, ""If you like evil with no retribution, this is your movie"". Nothing more to say...",0.00018006563186645508,0.5037394762039185,0,1,0,244,"Successful"
"I was kinda looking forward to Man of the Year, a couple girls at my work said it was a pretty good movie, and my mom said that she liked it, so I waited for the rental, and watched it last night. I have to honestly say that this movie was a huge <font color = red>disappointment</font>. I barely made through it, because to be honest the beginning was pretty good and very well paced, but then it got too dark and not into the movie I saw from the <font color = red>trailer</font>. It looked like a good comedy, then it turned into a very <font color = red>dark</font> drama, that wasn't even that interesting, considering how many of these types of stories we've had about government conspiracy.<br /><br />Tom Dobbs is a very popular comedian with a top ranks show and has an act where many people would want him to get involved with politics, just because it seems like he has a good grip on what should be improved. So he does it, he runs for presidency, but many people doubt that he can win due to the fact that he's a comedian, but he does win! But Elenore Green who makes sure all the votes are accounted for tries to fix a computer glitch, but when the government tells her not to fix it, they try to get rid of her, and Tom soon realizes that this may not be the job he wanted.<br /><br />The acting was fine, the direction was OK, it was just the story that didn't work in my opinion. Like I said, it just turned into a dramatic change of <font color = red>genres</font>, because if you see the <font color = red>trailer</font>, you'd think it was a comedy, and when you start watching it, that's what you get, but then it just <font color = red>turns</font> into a very <font color = red>dark</font> and <font color = red>somewhat</font> <font color = red>scary</font> <font color = red>drama</font>. I wouldn't really <font color = red>recommend</font> this movie, it was one of the <font color = red>biggest</font> <font color = red>disappointments</font> I have seen so far.<br /><br />2/10","I was kinda looking forward to Man of the Year, a couple girls at my work said it was a pretty good movie, and my mom said that she liked it, so I waited for the rental, and watched it last night. I have to honestly say that this movie was a huge <font color = green>consternation</font>. I barely made through it, because to be honest the beginning was pretty good and very well paced, but then it got too dark and not into the movie I saw from the <font color = green>trailers</font>. It looked like a good comedy, then it turned into a very <font color = green>noir</font> drama, that wasn't even that interesting, considering how many of these types of stories we've had about government conspiracy.<br /><br />Tom Dobbs is a very popular comedian with a top ranks show and has an act where many people would want him to get involved with politics, just because it seems like he has a good grip on what should be improved. So he does it, he runs for presidency, but many people doubt that he can win due to the fact that he's a comedian, but he does win! But Elenore Green who makes sure all the votes are accounted for tries to fix a computer glitch, but when the government tells her not to fix it, they try to get rid of her, and Tom soon realizes that this may not be the job he wanted.<br /><br />The acting was fine, the direction was OK, it was just the story that didn't work in my opinion. Like I said, it just turned into a dramatic change of <font color = green>species</font>, because if you see the <font color = green>caravan</font>, you'd think it was a comedy, and when you start watching it, that's what you get, but then it just <font color = green>converts</font> into a very <font color = green>nightfall</font> and <font color = green>reasonably</font> <font color = green>fearful</font> <font color = green>dramas</font>. I wouldn't really <font color = green>advises</font> this movie, it was one of the <font color = green>finest</font> <font color = green>deceptions</font> I have seen so far.<br /><br />2/10",0.00016307830810546875,0.9439796805381775,0,1,0,230,"Successful"
"If you've ever listened to any of the James Lee Burke books on tape or CD and the reader was Will Patton you may agree with me that Will is the personification of Dave R.<br /><br />Tommy Lee Jones is a native Texan (or so I've heard) and no one portrays a Texan better IMHO, but he's not a Cajun. His <font color = red>delivery</font> is all <font color = red>wrong</font>. I lived in the state for several years and I can still hear the strange patois that a Louisiana accent contains. TLJ doesn't have anything like that.<br /><br />I thought Marry Steenbergen was a good choice for Bootsy, but I missed seeing Cletus (who will be cast in this role? The Rock? Mickey Rourke? whoever, he'll have to be big).<br /><br /><font color = red>Overall</font>, I thought the <font color = red>movie</font> was only a 4 - the <font color = red>plot</font> <font color = red>flopped</font> <font color = red>around</font> like a fish out of water and didn't have the normal interesting, yet non-linear continuity that the book typically has.<br /><br />Hopefully, Hollywood will try another JLB book, ""Last Car to Elysican Fields"" would be a good choice. We'd get to see some of the best villains from JLB ever.","If you've ever listened to any of the James Lee Burke books on tape or CD and the reader was Will Patton you may agree with me that Will is the personification of Dave R.<br /><br />Tommy Lee Jones is a native Texan (or so I've heard) and no one portrays a Texan better IMHO, but he's not a Cajun. His <font color = green>birthing</font> is all <font color = green>untrue</font>. I lived in the state for several years and I can still hear the strange patois that a Louisiana accent contains. TLJ doesn't have anything like that.<br /><br />I thought Marry Steenbergen was a good choice for Bootsy, but I missed seeing Cletus (who will be cast in this role? The Rock? Mickey Rourke? whoever, he'll have to be big).<br /><br /><font color = green>Globally</font>, I thought the <font color = green>theaters</font> was only a 4 - the <font color = green>conspiracies</font> <font color = green>limped</font> <font color = green>during</font> like a fish out of water and didn't have the normal interesting, yet non-linear continuity that the book typically has.<br /><br />Hopefully, Hollywood will try another JLB book, ""Last Car to Elysican Fields"" would be a good choice. We'd get to see some of the best villains from JLB ever.",0.0001596212387084961,0.5300225615501404,0,1,0,132,"Successful"
"It's less visceral than the only other Tsai film I've seen (""Vive L'amour""), but the idea of doorways (holes) into others' emotions and existences is vividly <font color = green>portrayed</font> here, as Tsai sets up long shot after long shot, usually with long takes, suggesting a sense of alienation in <font color = green>Taipei</font>. The <font color = green>musical</font> interludes, <font color = green>inspired</font> by Grace <font color = green>Chang</font>, are <font color = green>perplexing</font> but <font color = green>welcome</font> mile-markers that add new <font color = green>dimensions</font> to the slowly evolving relationship between the young man upstairs and the woman downstairs. It's not necessarily an easy film to watch (although it's not heavy-handed by any means), so I'd warn any casual <font color = green>viewers</font> who are looking for some ""indie"" entertainment (like <font color = green>Tarantino</font> or Guy Ritchie). But if you'd like to know something about isolation among city-dwellers in Taiwan, and something more universal about city alienation and romantic yearning, then watch this film immediately.","It's less visceral than the only other Tsai film I've seen (""Vive L'amour""), but the idea of doorways (holes) into others' emotions and existences is vividly <font color = red>indicated</font> here, as Tsai sets up long shot after long shot, usually with long takes, suggesting a sense of alienation in <font color = red>Canton</font>. The <font color = red>musician</font> interludes, <font color = red>steered</font> by Grace <font color = red>Qiang</font>, are <font color = red>baffling</font> but <font color = red>bienvenidos</font> mile-markers that add new <font color = red>banishment</font> to the slowly evolving relationship between the young man upstairs and the woman downstairs. It's not necessarily an easy film to watch (although it's not heavy-handed by any means), so I'd warn any casual <font color = red>onlooker</font> who are looking for some ""indie"" entertainment (like <font color = red>Scorsese</font> or Guy Ritchie). But if you'd like to know something about isolation among city-dwellers in Taiwan, and something more universal about city alienation and romantic yearning, then watch this film immediately.",0.00014972686767578125,0.9965111017227173,1,0,1,130,"Successful"
"Robert Altman, Nicolas Roeg, John-Luc Goddard--you were expecting a fun film the entire family could enjoy? These and other directors were obviously chosen because they have not followed the mainstream, but <font color = green>created</font> it. For those that <font color = green>complain</font> that they did not adhere to the original story of the opera--How often does the music in a film directly relate to what is going on in the film? It is the <font color = green>mood</font> that <font color = green>counts</font>. This is what I believe the directors of these movies were doing: creating a contemporary <font color = green>mood</font> for old <font color = green>operas</font>. For the most part they <font color = green>succeed</font> wonderfully. With all these operas, who is going to like them all. We could have used more Beverly Sills.<br /><br />Finally, what is art (even opera) without a few <font color = green>naked</font> women?","Robert Altman, Nicolas Roeg, John-Luc Goddard--you were expecting a fun film the entire family could enjoy? These and other directors were obviously chosen because they have not followed the mainstream, but <font color = red>instituted</font> it. For those that <font color = red>moan</font> that they did not adhere to the original story of the opera--How often does the music in a film directly relate to what is going on in the film? It is the <font color = red>climate</font> that <font color = red>counting</font>. This is what I believe the directors of these movies were doing: creating a contemporary <font color = red>atmospheric</font> for old <font color = red>symphonies</font>. For the most part they <font color = red>avail</font> wonderfully. With all these operas, who is going to like them all. We could have used more Beverly Sills.<br /><br />Finally, what is art (even opera) without a few <font color = red>nudist</font> women?",0.0003554821014404297,0.7715371251106262,1,0,1,98,"Successful"
"mondovino is a <font color = green>moving</font> and <font color = green>rewarding</font> <font color = green>documentary</font>. in the world of wine there is a huge different between the big winery and the small one. it's not just about size of of your vineyard but also the amount of money and power you have. if you have enough money to place ads in the wine spectator and hire a so called ""wine except"" then it doesn't matter the size of your estate. also in business world of today wine often has to mass marketed and suited to people's taste. what is means many times wine <font color = green>filtered</font> of it's origin. mondovino shows the commercial side of wine in that of mega producer Robert mondavi, and Michael Rolland the wine expert who shapes wine to the taste of today's <font color = green>critics</font> like Robert parker who is also in the film. now these men are not evil or wrong for they have done a great deal of good for wine. but they have power on a grand scale. as we all know power corrupts. mondovino also <font color = green>shows</font> small wine makers such as Aime Guilbert of the languedoc and Hubert de montille of volnay in burgundy. these wine makers are not starving wine makers but they know like all great wine makers that it's about where the grapes are from. the best example of this is explained not by a wine maker but by a Haitian man working for Neal rosenthal the wine importer. the area the grapes are grown the terroir that matters, that a guiding hand that knows this makes important real wine.","mondovino is a <font color = red>displacement</font> and <font color = red>enriching</font> <font color = red>paperwork</font>. in the world of wine there is a huge different between the big winery and the small one. it's not just about size of of your vineyard but also the amount of money and power you have. if you have enough money to place ads in the wine spectator and hire a so called ""wine except"" then it doesn't matter the size of your estate. also in business world of today wine often has to mass marketed and suited to people's taste. what is means many times wine <font color = red>screened</font> of it's origin. mondovino shows the commercial side of wine in that of mega producer Robert mondavi, and Michael Rolland the wine expert who shapes wine to the taste of today's <font color = red>pundits</font> like Robert parker who is also in the film. now these men are not evil or wrong for they have done a great deal of good for wine. but they have power on a grand scale. as we all know power corrupts. mondovino also <font color = red>testifies</font> small wine makers such as Aime Guilbert of the languedoc and Hubert de montille of volnay in burgundy. these wine makers are not starving wine makers but they know like all great wine makers that it's about where the grapes are from. the best example of this is explained not by a wine maker but by a Haitian man working for Neal rosenthal the wine importer. the area the grapes are grown the terroir that matters, that a guiding hand that knows this makes important real wine.",0.00015842914581298828,0.6677552461624146,1,0,1,79,"Successful"
"I recently rented this film on DVD and thought it would be an interesting choice seeing as I am both from the north of England (Bradford), and also interested in film-making. However, it soon became apparent that this film seemed to lack a decent level of development script-wise. The characters were <font color = red>weak</font> and <font color = red>often</font> stereotyped and the story lacked substance. The subject matter could be an interesting basis for a film. However, the <font color = red>delivery</font> of this appeared naive and unfocused. <br /><br />The ending felt as though it was casting <font color = red>judgement</font> on the characters - <font color = red>punishing</font> and rewarding where the filmmakers felt necessary. This felt a little awkward and silly, and seemed at odds with the 'realism' used in the style of shooting. For me, the film <font color = red>dealt</font> with the characters and subject matter in a <font color = red>rather</font> <font color = red>heavy</font> <font color = red>handed</font> and <font color = red>clumsy</font> manner. It felt as though the writer had already decided how he wanted to end the story and set about crow-barring everything else in to fit it.<br /><br />Another point that I feel strongly about is the watered-down Ken Loach feel the film had. I get quite upset that UK film financiers can't see that there is more to British films than 'gritty realism'. It has become almost a safe option. Film is an infinitely wonderful playground for imaginative ideas and it is not being exploited by UK feature film producers. There is a lot of talent here in the UK. It's unfortunate that most of these individuals end up either making music videos and commercials 100% of the time or they go to America. <br /><br />Love + Hate would have worked better if it had been cut down to 30 or 60 minutes and appeared as a one-off TV drama.","I recently rented this film on DVD and thought it would be an interesting choice seeing as I am both from the north of England (Bradford), and also interested in film-making. However, it soon became apparent that this film seemed to lack a decent level of development script-wise. The characters were <font color = green>unconvincing</font> and <font color = green>traditionally</font> stereotyped and the story lacked substance. The subject matter could be an interesting basis for a film. However, the <font color = green>implementing</font> of this appeared naive and unfocused. <br /><br />The ending felt as though it was casting <font color = green>convictions</font> on the characters - <font color = green>disciplined</font> and rewarding where the filmmakers felt necessary. This felt a little awkward and silly, and seemed at odds with the 'realism' used in the style of shooting. For me, the film <font color = green>treat</font> with the characters and subject matter in a <font color = green>quite</font> <font color = green>enormous</font> <font color = green>surrendered</font> and <font color = green>delicate</font> manner. It felt as though the writer had already decided how he wanted to end the story and set about crow-barring everything else in to fit it.<br /><br />Another point that I feel strongly about is the watered-down Ken Loach feel the film had. I get quite upset that UK film financiers can't see that there is more to British films than 'gritty realism'. It has become almost a safe option. Film is an infinitely wonderful playground for imaginative ideas and it is not being exploited by UK feature film producers. There is a lot of talent here in the UK. It's unfortunate that most of these individuals end up either making music videos and commercials 100% of the time or they go to America. <br /><br />Love + Hate would have worked better if it had been cut down to 30 or 60 minutes and appeared as a one-off TV drama.",0.0002148747444152832,0.9074000120162964,0,1,0,171,"Successful"
"Richard Donner shows off his liberal <font color = red>credentials</font> with this <font color = red>ludicrously</font> overcooked simplistic <font color = red>attack</font> on the politics of South Africa.It's not as if America is the cradle of racial harmony and brotherly love - and further irony is added by the fact that the movie is set in the city that was the home of Rodney King and glorifies the Police Department that did so much towards community relations with their brutal racist behaviour. So Donner's salt and pepper pairing who clearly have a late = developing teenage crush on one another do their own thing with fine disregard for the rule of law or the rules of evidence and no one <font color = red>worries</font> because the bad guys are white South Africans - surely a worrying example of police racism in itself? Inside Rudd's (Joss Ackland - eminently hissable) office the decor is designed and lit to resemble as far as possible the Fuhrerbunker and just in case some rather dumb moviegoers miss the point,he and his men are referred to as ""nazis"" at regular intervals. For me the only bright spot in the movie was when Mel Gibson turned up at an anti - apartheid demonstration carrying a banner bearing the inscription ""End Aparthied Now"". The intensely irritating Joe Pesci is introduced into the franchise to take some of the weight off the boys' shoulders by following them around yapping incessantly like a badly-trained puppy.This would be bearable if there was the remotest possibility of him ending up in a concrete overcoat,but sadly he survives to irritate another day. Miss Patsy Kensit <font color = red>seems</font> in a world of her own,perhaps not believing her luck at being cast opposite Mel Gibson who has little trouble sweeping her into bed in his mobile home which appears to have been washed up on a beach somewhere.Shortly after consummating their affair they come under fire from a number of helicopters that fire enough rounds into Mel's caravan to keep the U.S. Army in Iraq going for six months. <font color = red>Fortunately</font> he has a pet dog who is not afraid to cause coitus interruptus just as they are going for seconds and his barking warns them of the imminent attack.I hope he got a special bone as a reward. The <font color = red>film</font> <font color = red>climaxes</font>(without interruption from Mel's dog) on a cargo ship bound for Nazi Germany (sorry,South Africa),when Mel and Danny murder so many members of the master race that I lost count.Despite jiggling around like Bonnie and Clyde under the impact of a hail of bullets,Mel survives,curled up in his partner's arms like a small child with a wise and benevolent father.Take that,Apartheid!","Richard Donner shows off his liberal <font color = green>certificates</font> with this <font color = green>somewhat</font> overcooked simplistic <font color = green>aggressiveness</font> on the politics of South Africa.It's not as if America is the cradle of racial harmony and brotherly love - and further irony is added by the fact that the movie is set in the city that was the home of Rodney King and glorifies the Police Department that did so much towards community relations with their brutal racist behaviour. So Donner's salt and pepper pairing who clearly have a late = developing teenage crush on one another do their own thing with fine disregard for the rule of law or the rules of evidence and no one <font color = green>misgivings</font> because the bad guys are white South Africans - surely a worrying example of police racism in itself? Inside Rudd's (Joss Ackland - eminently hissable) office the decor is designed and lit to resemble as far as possible the Fuhrerbunker and just in case some rather dumb moviegoers miss the point,he and his men are referred to as ""nazis"" at regular intervals. For me the only bright spot in the movie was when Mel Gibson turned up at an anti - apartheid demonstration carrying a banner bearing the inscription ""End Aparthied Now"". The intensely irritating Joe Pesci is introduced into the franchise to take some of the weight off the boys' shoulders by following them around yapping incessantly like a badly-trained puppy.This would be bearable if there was the remotest possibility of him ending up in a concrete overcoat,but sadly he survives to irritate another day. Miss Patsy Kensit <font color = green>transpires</font> in a world of her own,perhaps not believing her luck at being cast opposite Mel Gibson who has little trouble sweeping her into bed in his mobile home which appears to have been washed up on a beach somewhere.Shortly after consummating their affair they come under fire from a number of helicopters that fire enough rounds into Mel's caravan to keep the U.S. Army in Iraq going for six months. <font color = green>Thankfully</font> he has a pet dog who is not afraid to cause coitus interruptus just as they are going for seconds and his barking warns them of the imminent attack.I hope he got a special bone as a reward. The <font color = green>movie</font> <font color = green>orgasms</font>(without interruption from Mel's dog) on a cargo ship bound for Nazi Germany (sorry,South Africa),when Mel and Danny murder so many members of the master race that I lost count.Despite jiggling around like Bonnie and Clyde under the impact of a hail of bullets,Mel survives,curled up in his partner's arms like a small child with a wise and benevolent father.Take that,Apartheid!",0.00022262334823608398,0.8610227108001709,0,1,0,128,"Successful"
