"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Asked and was <font color = red>confirmed</font> for a <font color = red>female</font> masseur and was given a male masseur who I didn't want to offend by <font color = red>declining</font> the <font color = red>massage</font>. \n\nHe <font color = red>massaged</font> with a very <font color = red>soft</font> grip and <font color = red>pressure</font> which was very awkward because his hand <font color = red>skin</font> was very <font color = red>dry</font> and <font color = red>hard</font>.\n\nAbout the <font color = red>facilities</font>: Outside light penetrating in the room. Some <font color = red>showers</font> had all he <font color = red>lotions</font> <font color = red>necessary</font>, some didn't even have the bare minimum like shampoo and conditioner. The gym was very <font color = red>basic</font> and while I could use it while waiting for my friends who were forgotten about,  it wasn't properly equipped for free-weight training.\n\nThis <font color = red>place</font> <font color = red>sucks</font> if you <font color = red>want</font> to <font color = red>relax</font>. I had a <font color = red>coupon</font> for a <font color = red>special</font> deal but it still wasn't worth it.","Asked and was <font color = green>emphasizing</font> for a <font color = green>feminine</font> masseur and was given a male masseur who I didn't want to offend by <font color = green>tumbling</font> the <font color = green>rub</font>. \n\nHe <font color = green>massaging</font> with a very <font color = green>slight</font> grip and <font color = green>tensions</font> which was very awkward because his hand <font color = green>skins</font> was very <font color = green>cured</font> and <font color = green>rigorous</font>.\n\nAbout the <font color = green>amenities</font>: Outside light penetrating in the room. Some <font color = green>flurries</font> had all he <font color = green>sunblock</font> <font color = green>critical</font>, some didn't even have the bare minimum like shampoo and conditioner. The gym was very <font color = green>foundation</font> and while I could use it while waiting for my friends who were forgotten about,  it wasn't properly equipped for free-weight training.\n\nThis <font color = green>venue</font> <font color = green>jitters</font> if you <font color = green>wanting</font> to <font color = green>eased</font>. I had a <font color = green>coupons</font> for a <font color = green>unusual</font> deal but it still wasn't worth it.",0.00014972686767578125,0.585784912109375,0,1,0,369,"Successful"
"Don't <font color = red>order</font> from Domino's Pizza in North Las Vegas. They <font color = red>charged</font> my credit card, then messed up the <font color = red>order</font>. They <font color = red>said</font> I would not <font color = red>get</font> a <font color = red>refund</font> on my credit <font color = red>card</font> for three business days. Just a few <font color = red>seconds</font> of their mistake and suddenly I am responsible for the charges for three business days. <font color = red>This</font> is a <font color = red>management</font> <font color = red>problem</font>. I <font color = red>hope</font> someone in Domino's corporate manager <font color = red>reads</font> this. This is <font color = red>poor</font> customer <font color = red>service</font>. I will never again order from any Domino's Pizza as a <font color = red>result</font> of what happened <font color = red>tonight</font> as I wait for three <font color = red>days</font> for my refund.","Don't <font color = red>decrees</font> from Domino's Pizza in North Las Vegas. They <font color = red>adjudged</font> my credit card, then messed up the <font color = red>injunction</font>. They <font color = red>declare</font> I would not <font color = red>attain</font> a <font color = red>repayment</font> on my credit <font color = red>chart</font> for three business days. Just a few <font color = red>sec</font> of their mistake and suddenly I am responsible for the charges for three business days. <font color = red>That</font> is a <font color = red>directors</font> <font color = red>issue</font>. I <font color = red>desired</font> someone in Domino's corporate manager <font color = red>reading</font> this. This is <font color = red>poorest</font> customer <font color = red>serve</font>. I will never again order from any Domino's Pizza as a <font color = red>corollary</font> of what happened <font color = red>mardi</font> as I wait for three <font color = red>time</font> for my refund.",0.00015175342559814453,0.00015437602996826172,0,0,0,632,"Failed"
"<font color = red>Considering</font> that Gourmet <font color = red>magazine</font> <font color = red>said</font> it was the best Thai restaurant in North America, AND that Frommers highly recommended it, I <font color = red>expected</font> a lot more. My boyfriend and I both had the wonton soup (excellent) and the chicken with cashew nuts. Personally, I've had much better at other Thai <font color = red>restaurants</font>. \n\nIt's a run-down little place, but <font color = red>obviously</font> plenty of <font color = red>people</font> know about it. Autographed pictures with celebrities adorn the walls. Service is okay, but nothing exceptional. It was often hard to track down our server.","<font color = green>Scrutinize</font> that Gourmet <font color = green>journal</font> <font color = green>stated</font> it was the best Thai restaurant in North America, AND that Frommers highly recommended it, I <font color = green>waits</font> a lot more. My boyfriend and I both had the wonton soup (excellent) and the chicken with cashew nuts. Personally, I've had much better at other Thai <font color = green>lunchroom</font>. \n\nIt's a run-down little place, but <font color = green>naturally</font> plenty of <font color = green>personas</font> know about it. Autographed pictures with celebrities adorn the walls. Service is okay, but nothing exceptional. It was often hard to track down our server.",0.0018494725227355957,0.5169146656990051,0,1,0,157,"Successful"
"I <font color = green>wish</font> I could have given this place a 5...I really do.  The food was excellent.  My friend had the chicken mole and I had the chicken enchiladas...delicious!  The service was great...until the <font color = green>storm</font> hit.  All of a sudden there was crazy wind and rain, and I guess their computers went down.  We waited for over 30 minutes in order to get our check.  Our poor server tried his best to keep us happy, but he was a bit frazzled himself.  After finding out it was only his 3rd day on the job, I was much more impressed with how he handled things.  If it wasn't for that crazyness, and no manager addressing our table when it all happened, there would have been 5 stars.  Good food.  Job well done, Jason.  <font color = green>Thank</font> you for the birthday cake!","I <font color = red>aspirations</font> I could have given this place a 5...I really do.  The food was excellent.  My friend had the chicken mole and I had the chicken enchiladas...delicious!  The service was great...until the <font color = red>cyclones</font> hit.  All of a sudden there was crazy wind and rain, and I guess their computers went down.  We waited for over 30 minutes in order to get our check.  Our poor server tried his best to keep us happy, but he was a bit frazzled himself.  After finding out it was only his 3rd day on the job, I was much more impressed with how he handled things.  If it wasn't for that crazyness, and no manager addressing our table when it all happened, there would have been 5 stars.  Good food.  Job well done, Jason.  <font color = red>Acknowledge</font> you for the birthday cake!",0.005429565906524658,0.5217198133468628,1,0,1,136,"Successful"
"The <font color = green>sandwich</font> with eggs and <font color = green>bacon</font> was <font color = green>amazing</font>! I think the wait was too long and next time I will order to go but I will <font color = green>definitely</font> <font color = green>stop</font> by again!  They should put tables outside instead of having all of the seats for waiting outside!","The <font color = red>bun</font> with eggs and <font color = red>feta</font> was <font color = red>staggering</font>! I think the wait was too long and next time I will order to go but I will <font color = red>flatly</font> <font color = red>suspended</font> by again!  They should put tables outside instead of having all of the seats for waiting outside!",0.00014460086822509766,0.7009208798408508,1,0,1,105,"Successful"
"<font color = red>Machines</font> are very <font color = red>old</font> - many out-of-order. <font color = red>Premises</font> not very clean.  A tacky place.  Will not <font color = red>go</font> there again.","<font color = red>Computers</font> are very <font color = red>veteran</font> - many out-of-order. <font color = red>Accomodation</font> not very clean.  A tacky place.  Will not <font color = red>move</font> there again.",0.00015223026275634766,0.00045692920684814453,0,0,0,54,"Failed"
"<font color = red>Meh</font>. I've <font color = red>experienced</font> <font color = red>better</font>.\n\nMuch better does <font color = red>exist</font> out there... <font color = red>somewhere</font>... and cheaper too.  Unfortunately, they don't exist as close by for when I need my version of comfort food.\n\nShort answer is yes, they'll do if you got a hankering.  I went for a low risk chicken chow mein.  If they can pass this simple test, then at least I can give them another shot later on.  Decent ingredients and decent serving size, but I'd say about 25% over-priced.  Tastey noodles; therefore they'll receive a <font color = red>passing</font> <font color = red>grade</font> from me.  Stir fried just right and without <font color = red>excessive</font> oil.  When I can't take it any more, I'll <font color = red>probably</font> be back.\n\nThe Asian <font color = red>staff</font> was a <font color = red>bonus</font>, but it looked to me that the menu had been Americanized some.  Sad what has to be comprised in order to <font color = red>survive</font>.  I guess my biggest qualm is that I've been spoiled by growing up surrounded by good, cheap, authentic Chinese food.  So when an establishment can't meet all three <font color = red>criteria</font>, I just <font color = red>pine</font> for <font color = red>days</font> of ol'.  Maybe my standard isn't terribly fair, but since I know it to exist, the burden is on them.","<font color = green>Errr</font>. I've <font color = green>piloted</font> <font color = green>improved</font>.\n\nMuch better does <font color = green>be</font> out there... <font color = green>somehow</font>... and cheaper too.  Unfortunately, they don't exist as close by for when I need my version of comfort food.\n\nShort answer is yes, they'll do if you got a hankering.  I went for a low risk chicken chow mein.  If they can pass this simple test, then at least I can give them another shot later on.  Decent ingredients and decent serving size, but I'd say about 25% over-priced.  Tastey noodles; therefore they'll receive a <font color = green>adoption</font> <font color = green>level</font> from me.  Stir fried just right and without <font color = green>disproportionate</font> oil.  When I can't take it any more, I'll <font color = green>definitely</font> be back.\n\nThe Asian <font color = green>manning</font> was a <font color = green>awards</font>, but it looked to me that the menu had been Americanized some.  Sad what has to be comprised in order to <font color = green>survivor</font>.  I guess my biggest qualm is that I've been spoiled by growing up surrounded by good, cheap, authentic Chinese food.  So when an establishment can't meet all three <font color = green>standard</font>, I just <font color = green>tsung</font> for <font color = green>times</font> of ol'.  Maybe my standard isn't terribly fair, but since I know it to exist, the burden is on them.",0.00014913082122802734,0.9844174385070801,0,1,0,254,"Successful"
"If I <font color = red>could</font> <font color = red>drop</font> a zero-spot here, I would.\n\nThis.<font color = red>place</font>.is.<font color = red>awful</font>.\<font color = red>nI</font> had never been to one before now, and I absolutely will not go back.\n\nFor those who <font color = red>enjoy</font> three times the amount of mayonnaise as <font color = red>meat</font> in a sando, this is the <font color = red>place</font> for you. <font color = red>Assembly</font> line sandwich at it's worst.","If I <font color = red>got</font> <font color = red>autumn</font> a zero-spot here, I would.\n\nThis.<font color = red>venue</font>.is.<font color = red>atrocious</font>.\<font color = red>either</font> had never been to one before now, and I absolutely will not go back.\n\nFor those who <font color = red>adore</font> three times the amount of mayonnaise as <font color = red>beef</font> in a sando, this is the <font color = red>placement</font> for you. <font color = red>Sitting</font> line sandwich at it's worst.",0.00015032291412353516,0.00015425682067871094,0,0,0,263,"Failed"
"Marquee in the <font color = green>Cosmopolitan</font> will <font color = green>become</font> the next big club in Vegas. From the moment I walked into the <font color = green>lobby</font> to being in the night club. I was in <font color = green>awe</font>.\n\nThis club is <font color = green>giant</font>, you have take an elevator up to the 6th floor and up there were 3 levels to the club. The first floor you get off of is the main dance floor where the dj is. Lots of tables and a pretty big dance floor. A long bar and the nicest bathroom ever with lots of sitting room but they don't let you sit for very long. They make you leave after a while.\n\nIf you go downstairs, it's called the Boombox. A <font color = green>smaller</font> dance area with another bar playing different music than the other floor. If you go up one level from the main floor, you're at the library. Definitely just a place for you to chill and rest up, again playing different music from the other floors and has its own bars and some pool tables. From that floor, there's a <font color = green>balcony</font> that you can go on that is above the main dance floor and you could see everything. There's also an outside part to club by the pool? with an outdoor bar and cabana seating. We didn't <font color = green>stay</font> out there very long because it was freezing but I <font color = green>bet</font> it's <font color = green>really</font> nice during the summer.\n\nThe only <font color = green>reason</font> I'm <font color = green>giving</font> it 4 <font color = green>stars</font> is that there's not that many places to sit on the main floor. And when it gets crowded, the walk ways are almost <font color = green>impossible</font> to go through without <font color = green>squeezing</font> past one another.\n\nOther than those, I'll definitely be going back to this place when I get the <font color = green>chance</font> especially to see Kaskade since he's made his home here for the next year! He'll be there once every month!","Marquee in the <font color = red>Metropolitan</font> will <font color = red>ai</font> the next big club in Vegas. From the moment I walked into the <font color = red>lobbyists</font> to being in the night club. I was in <font color = red>dazzle</font>.\n\nThis club is <font color = red>large</font>, you have take an elevator up to the 6th floor and up there were 3 levels to the club. The first floor you get off of is the main dance floor where the dj is. Lots of tables and a pretty big dance floor. A long bar and the nicest bathroom ever with lots of sitting room but they don't let you sit for very long. They make you leave after a while.\n\nIf you go downstairs, it's called the Boombox. A <font color = red>smallest</font> dance area with another bar playing different music than the other floor. If you go up one level from the main floor, you're at the library. Definitely just a place for you to chill and rest up, again playing different music from the other floors and has its own bars and some pool tables. From that floor, there's a <font color = red>patio</font> that you can go on that is above the main dance floor and you could see everything. There's also an outside part to club by the pool? with an outdoor bar and cabana seating. We didn't <font color = red>maintain</font> out there very long because it was freezing but I <font color = red>betting</font> it's <font color = red>actually</font> nice during the summer.\n\nThe only <font color = red>motivation</font> I'm <font color = red>delivering</font> it 4 <font color = red>celebrities</font> is that there's not that many places to sit on the main floor. And when it gets crowded, the walk ways are almost <font color = red>unavailable</font> to go through without <font color = red>grabbing</font> past one another.\n\nOther than those, I'll definitely be going back to this place when I get the <font color = red>chances</font> especially to see Kaskade since he's made his home here for the next year! He'll be there once every month!",0.00014579296112060547,0.6466916799545288,1,0,1,246,"Successful"
"Just <font color = red>waited</font> 20 minutes for a <font color = red>muffin</font> and ice water. <font color = red>Paid</font> $3 plus a $1 <font color = red>tip</font> and never <font color = red>got</font> served. When I finally got up to leave, I <font color = red>told</font> the cashier I was leaving and to <font color = red>cancel</font> my order. She <font color = red>said</font>, \""""<font color = red>Okay</font>...\"""" and didn't make any <font color = red>attempt</font> to give me a <font color = red>refund</font> or apologize. Definitely won't be <font color = red>going</font> back!","Just <font color = red>expect</font> 20 minutes for a <font color = red>cheesecake</font> and ice water. <font color = red>Compensated</font> $3 plus a $1 <font color = red>tipping</font> and never <font color = red>am</font> served. When I finally got up to leave, I <font color = red>inform</font> the cashier I was leaving and to <font color = red>abolish</font> my order. She <font color = red>explains</font>, \""""<font color = red>Allright</font>...\"""" and didn't make any <font color = red>effort</font> to give me a <font color = red>payment</font> or apologize. Definitely won't be <font color = red>goes</font> back!",0.00015044212341308594,0.0001544952392578125,0,0,0,363,"Failed"
